route_name,start_stop_name,start_ds100,end_stop_name,end_ds100,composition_id,n_coaches,weight_t,length_m,v_max_kmh,energy_kwh,distance_km,travel_time_min
Canopus,Offenburg,RO,Karlsruhe Hbf,RK,REF-COUCH-10,10,532.2,264.0,200,362,69.2,44
Canopus,Offenburg,RO,Karlsruhe Hbf,RK,REF-BUD-12,12,636.0,316.8,200,409,69.2,44
Canopus,Offenburg,RO,Karlsruhe Hbf,RK,REF-PREM-12,12,631.6,316.8,200,408,69.2,44
Canopus,Offenburg,RO,Karlsruhe Hbf,RK,NEW-BAL-7,7,313.8,185.7,230,277,69.0,44
Canopus,Offenburg,RO,Karlsruhe Hbf,RK,NEW-BAL-14,14,627.6,371.4,230,426,69.2,44
Canopus,Riesa,DR,Leipzig Hbf,LL,REF-BUD-6,6,323.3,158.4,200,353,68.6,42
Canopus,Riesa,DR,Leipzig Hbf,LL,REF-COUCH-6,6,313.0,158.4,200,348,68.6,42
Canopus,Riesa,DR,Leipzig Hbf,LL,REF-BAL-9,9,501.4,237.6,200,484,69.6,43
Canopus,Riesa,DR,Leipzig Hbf,LL,REF-COUCH-10,10,532.2,264.0,200,507,69.6,44
Canopus,Riesa,DR,Leipzig Hbf,LL,REF-BUD-12,12,636.0,316.8,200,573,69.6,44
Canopus,Riesa,DR,Leipzig Hbf,LL,REF-PREM-12,12,631.6,316.8,200,571,69.6,44
Canopus,Riesa,DR,Leipzig Hbf,LL,NEW-BAL-7,7,313.8,185.7,230,371,69.6,43
Canopus,Riesa,DR,Leipzig Hbf,LL,NEW-BAL-14,14,627.6,371.4,230,579,68.7,43
Carpathia,München Hbf,MH,München Ost,MOP,REF-BUD-6,6,323.3,158.4,200,76,9.5,7
Carpathia,München Hbf,MH,München Ost,MOP,REF-COUCH-6,6,313.0,158.4,200,75,9.5,7
